epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1464.74,1.28813,0.65148,1.13251,0.89094,0.95157,0.95408,0.5817,1.43986,0.57483,1.17851,0.00016175,0.00016175,0.00016175
43,1500.17,1.26461,0.63896,1.12431,0.87541,0.94185,0.94351,0.56107,1.48043,0.59455,1.19693,0.0001535,0.0001535,0.0001535
44,1533.84,1.26158,0.63119,1.12593,0.89388,0.95209,0.96094,0.57109,1.44104,0.57772,1.17835,0.00014525,0.00014525,0.00014525
45,1569.35,1.25075,0.62403,1.11426,0.87844,0.94905,0.94615,0.57253,1.46053,0.58677,1.1859,0.000137,0.000137,0.000137
46,1602.62,1.24562,0.62194,1.11426,0.8908,0.94508,0.95676,0.57208,1.47043,0.58352,1.19704,0.00012875,0.00012875,0.00012875
47,1637.01,1.23431,0.61573,1.10443,0.87168,0.95505,0.95543,0.58023,1.45923,0.57578,1.188,0.0001205,0.0001205,0.0001205
48,1670.93,1.23656,0.61265,1.10836,0.88318,0.96032,0.95865,0.58076,1.43704,0.57203,1.18073,0.00011225,0.00011225,0.00011225
49,1704.7,1.22927,0.61325,1.10916,0.88831,0.95536,0.95565,0.57506,1.45952,0.57617,1.19084,0.000104,0.000104,0.000104
50,1740.34,1.23155,0.60487,1.10894,0.90075,0.94537,0.94826,0.57273,1.46422,0.57152,1.19266,9.575e-05,9.575e-05,9.575e-05
51,1776.51,1.21188,0.57869,1.13605,0.86953,0.9524,0.9484,0.57201,1.45942,0.57415,1.18741,8.75e-05,8.75e-05,8.75e-05
52,1810.53,1.17374,0.55053,1.1207,0.88448,0.96115,0.95096,0.57563,1.45681,0.56531,1.19404,7.925e-05,7.925e-05,7.925e-05
53,1843.54,1.17052,0.54137,1.11213,0.89161,0.95546,0.95083,0.57795,1.43695,0.55945,1.18992,7.1e-05,7.1e-05,7.1e-05
54,1878.23,1.15319,0.53435,1.10987,0.92065,0.94891,0.96043,0.59121,1.43281,0.54813,1.17796,6.275e-05,6.275e-05,6.275e-05
55,1911.38,1.1529,0.53163,1.10717,0.91474,0.95289,0.95638,0.58977,1.43105,0.5488,1.17677,5.45e-05,5.45e-05,5.45e-05
56,1945.09,1.13638,0.52636,1.10323,0.91344,0.94679,0.95835,0.58428,1.43052,0.5495,1.18046,4.625e-05,4.625e-05,4.625e-05
57,1978.05,1.13417,0.5271,1.10013,0.90874,0.95445,0.96184,0.587,1.42683,0.54669,1.18286,3.8e-05,3.8e-05,3.8e-05
58,2010.84,1.13212,0.51908,1.09626,0.90562,0.95958,0.96158,0.58682,1.43268,0.54788,1.183,2.975e-05,2.975e-05,2.975e-05
59,2044.97,1.12443,0.51498,1.09076,0.90476,0.95659,0.9596,0.58909,1.42362,0.54428,1.17671,2.15e-05,2.15e-05,2.15e-05
60,2077.77,1.11573,0.51629,1.08885,0.90535,0.95613,0.95807,0.58995,1.4231,0.54405,1.17792,1.325e-05,1.325e-05,1.325e-05
